tran_dt,tran_tmrg,wd_fc_sn,wd_ac_sn,dps_fc_sn,dps_ac_sn,tran_amt,md_type,fnd_type,ff_sp_ai,WD_NODE,DPS_NODE
2023-03-10,15,160,2000000000810444,136,2000000001687714,1.0,2,0,01,sdv-pii-d2fka,160-2000000000827434
2023-03-24,12,148,2000000000210841,134,2000000000237068,1020013.0,4,0,,sdv-pii-n9142,133-2000000000692325
2023-03-23,9,160,2000000002042385,135,2000000001176849,3209560.0,7,1,,sdv-pii-csqnr,135-2000000000561974
2023-03-10,15,160,2000000000531673,134,2000000001347225,85766.0,4,0,,sdv-pii-xshum,153-2000000001643116
2023-03-24,18,116,2000000001791702,134,2000000000948817,939574.0,2,0,01,sdv-pii-gozuh,159-2000000001337009
2023-03-14,21,153,2000000001429824,135,2000000000828613,149868.0,4,0,,sdv-pii-pf01f,136-2000000000211581
2023-03-01,9,161,2000000001513262,133,2000000000235674,57660.0,4,0,,sdv-pii-5raca,134-2000000000649129
2023-03-03,12,150,2000000000988011,135,2000000001053798,56970.0,2,0,01,sdv-pii-48qmw,136-2000000001215858
2023-03-03,18,153,2000000001398641,135,2000000001731873,68369.0,2,0,,sdv-pii-9mi2p,165-2000000000316158
2023-03-09,21,148,2000000001149098,136,2000000000607334,1.0,5,4,,sdv-pii-mc7ju,117-2000000000597104
2023-03-08,12,148,2000000001870306,134,2000000001256516,9494956.0,2,0,01,sdv-pii-qbdfk,165-2000000000176307
2023-03-03,12,165,2000000001455678,133,2000000000713656,6277666.0,7,0,,sdv-pii-yfipl,161-2000000000194166
2023-03-02,18,160,2000000001930366,132,2000000000672627,299725.0,2,0,,sdv-pii-lg66g,159-2000000000756593
2023-03-14,12,165,2000000000196614,165,2000000001229365,132078.0,2,0,,sdv-pii-5a6vq,160-2000000001660027
2023-03-08,15,118,2000000001641479,133,2000000001056473,8868750.0,4,0,02,sdv-pii-idlvf,165-2000000000412492
2023-03-23,12,161,2000000001840768,135,2000000000187758,1135640.0,7,1,,sdv-pii-2twgw,137-2000000001342535
2023-03-25,15,106,2000000001178160,165,2000000001102297,133276.0,1,0,,sdv-pii-k5ma2,165-2000000000584319
2023-03-02,0,160,2000000001341569,133,2000000000110490,1709364.0,2,0,,sdv-pii-au09m,153-2000000001852801
2023-03-24,12,154,2000000000805643,119,2000000001192772,164427.0,4,0,SP,sdv-pii-rymdl,160-2000000001567653
2023-03-13,12,150,2000000001509948,134,2000000000517815,281100.0,4,0,,sdv-pii-w7mvm,153-2000000000494608
2023-03-14,9,160,2000000000646837,165,2000000000347092,151118.0,2,0,,sdv-pii-9yxac,137-2000000000437435
2023-03-15,6,148,2000000001532964,133,2000000001359127,61039.0,7,0,,sdv-pii-acpl3,159-2000000001524249
2023-03-13,0,160,2000000000235635,134,2000000000826614,199902.0,2,0,,sdv-pii-qqum2,165-2000000002010710
2023-03-23,21,159,2000000001454082,159,2000000000232494,197654.0,5,3,,sdv-pii-vkiu0,153-2000000000853025
2023-03-09,12,159,2000000001342563,153,2000000001352733,220938.0,3,0,,sdv-pii-kgwcv,153-2000000001356992
