dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc
hofinet,gcn,2024,0.24375550984425506,0.14199512132494543,0.8602540834845736,0.9471095606120418,0.37009560819750253
hofinet,gcn,2025,0.2449956403168655,0.1428293316028553,0.8605499804509318,0.9517719306160051,0.33492030030948067
hofinet,gcn,2026,0.2572136478604243,0.16053996584941524,0.6465550797975866,0.9190326405319995,0.2807638711977445
hofinet,gcn,2027,0.25612648221343876,0.1597531492556305,0.6455842653297339,0.9213387132099174,0.27819562575740603
hofinet,gat,2024,0.520249329665355,0.3556634766461934,0.968369198859217,0.9879762557065804,0.5756752942596877
hofinet,gat,2025,0.5194723836703442,0.3543684710351377,0.972631304574482,0.986293605020099,0.5520441269624374
hofinet,gat,2026,0.5271651046437883,0.3618379685610641,0.9706760088231478,0.9875904604500558,0.564645581441325
hofinet,gat,2027,0.5695899431307991,0.4017098527626788,0.9785319449800746,0.9885562353505976,0.5668051169654807
hofinet,sage,2024,0.6768647504849233,0.5128256513026052,0.9952035260565206,0.9918160992887854,0.6150288585251852
hofinet,sage,2025,0.6736098852603707,0.5092413424968306,0.9946565880359702,0.9913494341943093,0.6044103575098821
hofinet,sage,2026,0.6766340301667108,0.5125275606333934,0.9953289217594394,0.9916741477725821,0.6101211983762773
hofinet,sage,2027,0.6793180523294036,0.5153610852506982,0.9962720143977375,0.9916489113386473,0.6116184057883819
hofinet,mlp,2024,0.6783718371837184,0.5134901072546799,0.9992221934145709,0.991152219005506,0.6068499376978248
hofinet,mlp,2025,0.6756280299691494,0.5104215222747552,0.9989573830314088,0.9912125050958347,0.6149822198161947
hofinet,mlp,2026,0.6798816829279061,0.5152569593147751,0.9990917347865577,0.991285934255844,0.6129551250601368
hofinet,mlp,2027,0.6811683185685466,0.5169406909405578,0.9983288340403651,0.9915130856654628,0.6285956530505658
hofinet,lgbm,2024,0.6717231571462432,0.5294821014871833,0.9184599429608504,0.9921760015669335,0.6641363090027061
hofinet,lgbm,2025,0.6694342537169338,0.5316261596258529,0.9036882575263913,0.9922864507664484,0.6634001096518969
hofinet,lgbm,2026,0.6701676623626903,0.5329910337956931,0.9024263656416245,0.9917628603275013,0.659573206864907
hofinet,lgbm,2027,0.6698355725857302,0.5378563639196137,0.887646227021468,0.9919644173393166,0.6603432384394761
hofinet,xgb,2024,0.6762174984883018,0.5273122959738846,0.9423126782473424,0.9921573083434245,0.6691154002673108
hofinet,xgb,2025,0.6751501286817272,0.5321962581711623,0.9231069985664017,0.9924527406910407,0.6677833962762539
hofinet,xgb,2026,0.6738586014255442,0.535804549283909,0.9077462047489295,0.9920784506217618,0.6587031983928708
hofinet,xgb,2027,0.6741422273337166,0.537397814959126,0.9042293353901529,0.9919265544288155,0.6657568749808815
