tran_dt,tran_tmrg,wd_fc_sn,wd_ac_sn,dps_fc_sn,dps_ac_sn,tran_amt,md_type,fnd_type,ff_sp_ai,Source,Target,Source_DC,Target_DC,Source_CC,Target_CC,Source_BC,Target_BC
2023-03-10,15,160,2000000000810444,136,2000000001687714,1.0,2,0,01,160_2000000000810444,136_2000000001687714,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-24,12,148,2000000000210841,134,2000000000237068,1020013.0,4,0,,148_2000000000210841,134_2000000000237068,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-23,9,160,2000000002042385,135,2000000001176849,3209560.0,7,1,,160_2000000002042385,135_2000000001176849,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-10,15,160,2000000000531673,134,2000000001347225,85766.0,4,0,,160_2000000000531673,134_2000000001347225,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-24,18,116,2000000001791702,134,2000000000948817,939574.0,2,0,01,116_2000000001791702,134_2000000000948817,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,21,153,2000000001429824,135,2000000000828613,149868.0,4,0,,153_2000000001429824,135_2000000000828613,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-01,9,161,2000000001513262,133,2000000000235674,57660.0,4,0,,161_2000000001513262,133_2000000000235674,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-03,12,150,2000000000988011,135,2000000001053798,56970.0,2,0,01,150_2000000000988011,135_2000000001053798,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-03,18,153,2000000001398641,135,2000000001731873,68369.0,2,0,,153_2000000001398641,135_2000000001731873,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-09,21,148,2000000001149098,136,2000000000607334,1.0,5,4,,148_2000000001149098,136_2000000000607334,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-08,12,148,2000000001870306,134,2000000001256516,9494956.0,2,0,01,148_2000000001870306,134_2000000001256516,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-03,12,165,2000000001455678,133,2000000000713656,6277666.0,7,0,,165_2000000001455678,133_2000000000713656,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-02,18,160,2000000001930366,132,2000000000672627,299725.0,2,0,,160_2000000001930366,132_2000000000672627,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,12,165,2000000000196614,165,2000000001229365,132078.0,2,0,,165_2000000000196614,165_2000000001229365,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-08,15,118,2000000001641479,133,2000000001056473,8868750.0,4,0,02,118_2000000001641479,133_2000000001056473,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-23,12,161,2000000001840768,135,2000000000187758,1135640.0,7,1,,161_2000000001840768,135_2000000000187758,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-25,15,106,2000000001178160,165,2000000001102297,133276.0,1,0,,106_2000000001178160,165_2000000001102297,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
